台站名称	经度	纬度	PGA	时间间隔	总步数
WTMC	173.054	-42.6194	11.026	0.01	32768
WTMC	173.054	-42.6194	9.229	0.01	32768
WTMC	173.054	-42.6194	31.541	0.01	32768
HSES	172.831	-42.5233	2.394	0.01	32768
HSES	172.831	-42.5233	2.584	0.01	32768
HSES	172.831	-42.5233	1.584	0.01	32768
CULC	172.803	-42.7594	2.176	0.01	32768
CULC	172.803	-42.7594	2.619	0.01	32768
CULC	172.803	-42.7594	2.845	0.01	32768
CECS	173.275	-42.8136	2.823	0.01	32768
CECS	173.275	-42.8136	2.723	0.01	32768
CECS	173.275	-42.8136	0.881	0.01	32768
GLWS	172.511	-42.5942	1.459	0.01	32768
GLWS	172.511	-42.5942	1.744	0.01	32768
GLWS	172.511	-42.5942	1.394	0.01	32768
GVZ_	173.035	-42.9675	1.429	0.01	32768
GVZ_	173.035	-42.9675	1.126	0.01	32768
GVZ_	173.035	-42.9675	0.599	0.01	32768
SCAC	172.922	-42.9386	2.063	0.01	32768
SCAC	172.922	-42.9386	3.034	0.01	32768
SCAC	172.922	-42.9386	0.985	0.01	32768
WAKC	172.705	-42.9631	1.458	0.01	32768
WAKC	172.705	-42.9631	1.441	0.01	32768
WAKC	172.705	-42.9631	0.664	0.01	32768
MOLS	173.257	-42.0881	3.571	0.01	32768
MOLS	173.257	-42.0881	2.748	0.01	32768
MOLS	173.257	-42.0881	1.606	0.01	32768
KIKS	173.682	-42.4258	2.511	0.01	32768
KIKS	173.682	-42.4258	1.983	0.01	32768
KIKS	173.682	-42.4258	2.423	0.01	32768
MCAS	172.328	-41.8	1.188	0.01	32768
MCAS	172.328	-41.8	1.047	0.01	32768
MCAS	172.328	-41.8	0.489	0.01	32768
WVFS	173.351	-41.6203	1.983	0.01	27013
WVFS	173.351	-41.6203	0.972	0.01	27013
WVFS	173.351	-41.6203	0.522	0.01	27013
KEKS	173.981	-41.9556	11.883	0.01	32768
KEKS	173.981	-41.9556	7.323	0.01	32768
KEKS	173.981	-41.9556	3.894	0.01	32768
WDFS	174.138	-41.8275	12.541	0.01	32768
WDFS	174.138	-41.8275	8.433	0.01	32768
WDFS	174.138	-41.8275	12.465	0.01	32768
BWRS	173.905	-41.4394	1.715	0.01	31600
BWRS	173.905	-41.4394	0.854	0.01	31600
BWRS	173.905	-41.4394	0.474	0.01	31600
MGCS	173.944	-41.5078	1.94	0.01	27651
MGCS	173.944	-41.5078	2.635	0.01	27651
MGCS	173.944	-41.5078	0.871	0.01	27651
NELS	173.274	-41.2878	0.949	0.01	27438
NELS	173.274	-41.2878	1.332	0.01	27438
NELS	173.274	-41.2878	0.511	0.01	27438
SEDS	174.076	-41.6722	5.708	0.01	32768
SEDS	174.076	-41.6722	7.362	0.01	32768
SEDS	174.076	-41.6722	1.918	0.01	32768
NLMS	173.277	-41.2664	1.048	0.01	20593
NLMS	173.277	-41.2664	0.906	0.01	20593
NLMS	173.277	-41.2664	0.334	0.01	20593
HAVS	173.785	-41.2722	1.29	0.01	32768
HAVS	173.785	-41.2722	0.933	0.01	32768
HAVS	173.785	-41.2722	0.651	0.01	32768
QCCS	174.023	-41.2797	2.188	0.01	32768
QCCS	174.023	-41.2797	2.574	0.01	32768
QCCS	174.023	-41.2797	0.97	0.01	32768
MISS	174.818	-41.315	1.447	0.01	32768
MISS	174.818	-41.315	1.768	0.01	32768
MISS	174.818	-41.315	0.609	0.01	32768
WEL_	174.768	-41.2842	1.475	0.01	16300
WEL_	174.768	-41.2842	1.191	0.01	16300
WEL_	174.768	-41.2842	0.649	0.01	16300
WNAS	174.809	-41.3264	1.238	0.01	28136
WNAS	174.809	-41.3264	1.427	0.01	28136
WNAS	174.809	-41.3264	0.536	0.01	28136
WNKS	174.742	-41.2847	1.656	0.01	28061
WNKS	174.742	-41.2847	1.998	0.01	28061
WNKS	174.742	-41.2847	0.506	0.01	28061
POTS	174.775	-41.2722	0.568	0.01	26400
POTS	174.775	-41.2722	1.051	0.01	26400
POTS	174.775	-41.2722	0.396	0.01	26400
TEPS	174.781	-41.2906	1.299	0.01	32768
TEPS	174.781	-41.2906	1.762	0.01	32768
TEPS	174.781	-41.2906	0.472	0.01	32768
TFSS	174.783	-41.2756	1.474	0.01	28152
TFSS	174.783	-41.2756	1.986	0.01	28152
TFSS	174.783	-41.2756	0.674	0.01	28152
VUWS	174.778	-41.2797	1.527	0.01	28089
VUWS	174.778	-41.2797	2.298	0.01	28089
VUWS	174.778	-41.2797	0.588	0.01	28089
LHUS	174.894	-41.2308	1.303	0.01	28085
LHUS	174.894	-41.2308	1.476	0.01	28085
LHUS	174.894	-41.2308	0.704	0.01	28085
LIRS	174.919	-41.2322	1.211	0.01	28154
LIRS	174.919	-41.2322	0.825	0.01	28154
LIRS	174.919	-41.2322	0.443	0.01	28154
LRSS	174.904	-41.2294	1.331	0.01	26193
LRSS	174.904	-41.2294	1.696	0.01	26193
LRSS	174.904	-41.2294	0.724	0.01	26193
PGMS	174.879	-41.2244	1.344	0.01	30638
PGMS	174.879	-41.2244	1.349	0.01	30638
PGMS	174.879	-41.2244	0.417	0.01	30638
PHHS	174.904	-41.2522	1.06	0.01	26400
PHHS	174.904	-41.2522	0.766	0.01	26400
PHHS	174.904	-41.2522	0.447	0.01	26400
SEVS	174.902	-41.2469	1.852	0.01	28363
SEVS	174.902	-41.2469	1.809	0.01	28363
SEVS	174.902	-41.2469	0.967	0.01	28363
